cell_group,gene_id,gene_short_name,fraction_expressing,mean_expression,specificity
Microglia,ENSMUSG00000004952,Rasa4,0.09983633387888707,0.20092041071181668,0.5968091311438748
Microglia,ENSMUSG00000062210,Tnfaip8,0.251227495908347,0.6130616350900762,0.5962728406163738
Microglia,ENSMUSG00000035711,Dok3,0.08183306055646482,0.16870928269857957,0.5954243766726174
Microglia,ENSMUSG00000027947,Il6ra,0.20458265139116202,0.4831665912868658,0.5945992632263148
Microglia,ENSMUSG00000039158,Akna,0.05810147299509002,0.12706617225684516,0.5932660816713392
Microglia,ENSMUSG00000039621,Prex1,0.3993453355155483,1.1771721761387905,0.591452225635162
Microglia,ENSMUSG00000025969,Nrp2,0.32569558101472995,0.9493847284785628,0.5902021050860902
Microglia,ENSMUSG00000039908,Slc26a11,0.060556464811783964,0.13820519242666557,0.5870933557322088
Microglia,ENSMUSG00000005142,Man2b1,0.43453355155482815,1.3008215966046661,0.5866462490553179
Microglia,ENSMUSG00000030761,Myo7a,0.0630114566284779,0.10760673445881772,0.5864467848541699
Microglia,ENSMUSG00000030223,Ptpro,0.07855973813420622,0.16273996761297402,0.584175695660339
Microglia,ENSMUSG00000016256,Ctsz,0.6710310965630114,3.421663796257059,0.5830139648449179
Microglia,ENSMUSG00000003812,Dnase2a,0.1039279869067103,0.22947969220825398,0.581265506172095
Microglia,ENSMUSG00000025154,Arhgap19,0.054009819967266774,0.1320804600566757,0.5801849311950635
Microglia,ENSMUSG00000021948,Prkcd,0.29623567921440264,0.7808325060985508,0.5794073523009009
Microglia,ENSMUSG00000075284,Wipf1,0.4762684124386252,1.5642988547457746,0.5790565128060404
Microglia,ENSMUSG00000024235,Map3k8,0.05973813420621931,0.12078162806868271,0.5783350390407422
Microglia,ENSMUSG00000057137,Tmem140,0.07037643207855974,0.15777948283154858,0.5778581636337052
Microglia,ENSMUSG00000026365,Cfh,0.2872340425531915,0.8502136501887457,0.5775910080695201
Microglia,ENSMUSG00000031504,Rab20,0.09738134206219312,0.21168116749551472,0.5760088034545856
Microglia,ENSMUSG00000059326,Csf2ra,0.14729950900163666,0.33378377626297867,0.5755231041953939
Microglia,ENSMUSG00000022747,St3gal6,0.08756137479541735,0.22019805046813726,0.5753436294040701
Microglia,ENSMUSG00000027293,Ehd4,0.37970540098199673,1.2009830528253882,0.5744706243551996
Microglia,ENSMUSG00000022969,Il10rb,0.10147299509001637,0.21586295198568387,0.5739647089976891
Microglia,ENSMUSG00000030748,Il4ra,0.22176759410801963,0.5497437870553816,0.5737312804075094
Microglia,ENSMUSG00000006519,Cyba,0.2806873977086743,0.8060046791586982,0.5732377105709654
Microglia,ENSMUSG00000066800,Rnasel,0.07774140752864157,0.17062333366001234,0.5729947951306852
Microglia,ENSMUSG00000048677,Tpcn2,0.06546644844517185,0.1486741513446161,0.5715368703276384
Microglia,ENSMUSG00000040616,Tmem51,0.13911620294599017,0.37312020985401834,0.569188982809272
Microglia,ENSMUSG00000040253,Gbp7,0.13993453355155483,0.3263744541161763,0.5685646169719172
Microglia,ENSMUSG00000021939,Ctsb,0.9296235679214403,11.474347938811498,0.5674115259915753
Microglia,ENSMUSG00000039115,Itga9,0.4451718494271686,1.6621596008356394,0.5665316135636065
Microglia,ENSMUSG00000033386,Frrs1,0.2225859247135843,0.5212785124295465,0.5640938872444052
Microglia,ENSMUSG00000002985,Apoe,0.9599018003273322,25.222482012298883,0.5640261368532327
Microglia,ENSMUSG00000029814,Igf2bp3,0.2978723404255319,0.7724675578371024,0.5589360662160087
Microglia,ENSMUSG00000034265,Zdhhc14,0.5065466448445172,1.9404269613479108,0.5568087363926782
Microglia,ENSMUSG00000031659,Adcy7,0.19476268412438624,0.4430455460936599,0.5564175720855717
Microglia,ENSMUSG00000039316,Rftn1,0.41816693944353517,1.3251818719558903,0.550452646311093
Microglia,ENSMUSG00000066442,Mthfs,0.2725040916530278,0.7573397776753922,0.5491323754575026
Microglia,ENSMUSG00000056888,Glipr1,0.11865793780687398,0.26472872453445156,0.548677180090227
Microglia,ENSMUSG00000021947,Cryl1,0.10965630114566285,0.25104577745158896,0.5486677947535908
Microglia,ENSMUSG00000036611,Eepd1,0.2905073649754501,0.8644915999433682,0.5470877917062648
Microglia,ENSMUSG00000028164,Manba,0.2037643207855974,0.4948162676950311,0.5455931116961561
Microglia,ENSMUSG00000074785,Plxnc1,0.2397708674304419,0.6885027796274202,0.5455764928465882
Microglia,ENSMUSG00000004207,Psap,0.6612111292962357,3.3490197088414093,0.5450328962952702
Microglia,ENSMUSG00000033880,Lgals3bp,0.15220949263502456,0.419273810789998,0.544297359338867
Microglia,ENSMUSG00000024781,Lipa,0.5564648117839607,2.04400254099941,0.5436507437943863
Microglia,ENSMUSG00000061232,H2-K1,0.381342062193126,1.2745011971740068,0.542032696672442
Microglia,ENSMUSG00000033016,Nfatc1,0.1513911620294599,0.3273627180478409,0.5418676905035573
Microglia,ENSMUSG00000033721,Vav3,0.339607201309329,1.0308173235902103,0.5389286038609464
Microglia,ENSMUSG00000029330,Cds1,0.05482815057283143,0.11199281473108705,0.5380080943349361
Microglia,ENSMUSG00000022180,Slc7a8,0.15220949263502456,0.35564642912445804,0.5374308512599228
Microglia,ENSMUSG00000074505,Fat3,0.4410801963993453,1.881187690879481,0.5371895623210263
Microglia,ENSMUSG00000030793,Pycard,0.06137479541734861,0.1305252724474874,0.536438639691956
Microglia,ENSMUSG00000022106,Rcbtb2,0.35924713584288054,1.114638358955698,0.5358749669268792
Microglia,ENSMUSG00000046688,Tifa,0.05482815057283143,0.10867766009810775,0.5354762131048654
Microglia,ENSMUSG00000037649,H2-DMa,0.07201309328968904,0.14604182089206563,0.5349585017407786
Microglia,ENSMUSG00000021895,Arhgef3,0.13829787234042554,0.30663275282344044,0.5344288613200028
Microglia,ENSMUSG00000004698,Hdac9,0.5531914893617021,3.1668595858267796,0.5341548389406581
Microglia,ENSMUSG00000053553,3110082I17Rik,0.10229132569558101,0.24226835234290392,0.5339160994135745
Microglia,ENSMUSG00000028708,Mknk1,0.15548281505728315,0.3315410764470439,0.532441515977834
Microglia,ENSMUSG00000031214,Ophn1,0.5032733224222586,1.8793200753033612,0.5321420935099368
Microglia,ENSMUSG00000060216,Arrb2,0.12029459901800327,0.2397715474267157,0.5319328276965566
Microglia,ENSMUSG00000021676,Iqgap2,0.10474631751227496,0.2601676384774295,0.53085285292799
Microglia,ENSMUSG00000035891,Cerk,0.21685761047463176,0.5301144481820116,0.5297682332285782
Microglia,ENSMUSG00000019832,Rab32,0.057283142389525366,0.10937426313876061,0.5278737400477831
Microglia,ENSMUSG00000010307,Tmem86a,0.25450081833060556,0.6839649891261815,0.5265031978799157
Microglia,ENSMUSG00000061288,Taok3,0.49263502454991814,1.615791056091706,0.526188039978577
Microglia,ENSMUSG00000020275,Rel,0.20458265139116202,0.47139696069393283,0.5261610181747973
Microglia,ENSMUSG00000030064,Frmd4b,0.6153846153846154,2.843359718593945,0.525243595142274
Microglia,ENSMUSG00000033446,Lpar6,0.11783960720130933,0.2418542098283995,0.5232753047549719
Microglia,ENSMUSG00000050022,Amz1,0.14157119476268412,0.32649455303630004,0.5217972201003857
Microglia,ENSMUSG00000007613,Tgfbr1,0.6808510638297872,3.5855137366248475,0.5216411625239508
Microglia,ENSMUSG00000021451,Sema4d,0.2700490998363339,0.6949618713101471,0.5212922066685919
Microglia,ENSMUSG00000045092,S1pr1,0.06710310965630115,0.1359430873411547,0.5212105589561145
Microglia,ENSMUSG00000027544,Nfatc2,0.1260229132569558,0.281354914640265,0.5208564380987653
Microglia,ENSMUSG00000001750,Tcirg1,0.16612111292962356,0.381605472884554,0.5200841097377273
Microglia,ENSMUSG00000026029,Casp8,0.14157119476268412,0.30621919842254824,0.5193078276704015
Microglia,ENSMUSG00000034613,Ppm1h,0.6677577741407529,3.008349528595335,0.5187364952435745
Microglia,ENSMUSG00000041836,Ptpre,0.2569558101472995,0.6157582554830806,0.5185779547577016
Microglia,ENSMUSG00000003644,Rps6ka1,0.1088379705400982,0.2382910317392026,0.5161882775161347
Microglia,ENSMUSG00000025534,Gusb,0.323240589198036,0.9097466681172516,0.5161492640023875
Microglia,ENSMUSG00000090272,Mndal,0.08919803600654665,0.18217451303095342,0.5159312310971348
Microglia,ENSMUSG00000027698,Nceh1,0.3788870703764321,1.080051160950153,0.5120842272464813
Microglia,ENSMUSG00000036246,Gmip,0.11947626841243862,0.24047177456384347,0.5115690847600806
Microglia,ENSMUSG00000035778,Ggta1,0.31751227495908346,0.8725241002760976,0.5109697784064553
Microglia,ENSMUSG00000031133,Arhgef6,0.1309328968903437,0.2839468627086943,0.5095497391677148
Microglia,ENSMUSG00000026737,Pip4k2a,0.6080196399345336,2.39728137037812,0.5092714975928099
Microglia,ENSMUSG00000032688,Malt1,0.13502454991816695,0.34301791613750165,0.5077405540327851
Microglia,ENSMUSG00000044712,Slc38a6,0.34288052373158756,0.9309880979887655,0.507379324081741
Microglia,ENSMUSG00000028599,Tnfrsf1b,0.1685761047463175,0.3874173661251,0.5064608261895257
Microglia,ENSMUSG00000039005,Tlr4,0.15057283142389524,0.325742597064447,0.5045453901665866
Microglia,ENSMUSG00000024663,Rab3il1,0.12520458265139117,0.25258436288343294,0.5029570459253705
Microglia,ENSMUSG00000061119,Prcp,0.11292962356792144,0.24240415099821486,0.5019934112889137
